Label,Content
toxic,"Không gian tiêm chủng bé síu, thua xa so với VNVC. Thái độ nhân viên ko chuyên nghiệp, khi hỏi về date thuốc ko nắm dc mà lại tỏ vẻ khó chịu với khách"
toxic,"Hôm trc mik vừa đi bảo hành đt ở FPT dịch vụ rất kém,khách đi về thì nói xấu khách, mang đt bảo hành thì phải đợi rất lâu xong nói không có lỗi gì. Còn dụ khách hàng mua gói bảo hành 2 năm của FPT nhưng khi mang đt đến bảo hành lại thờ ơ nói không nó lỗi. Nhân viên như bố thiên hạ mẹ thiên nhiên khách đến cũng không thèm quan tâm mặc kệ khách"
toxic,Ai mua hàng mà đến ý kiến bảo hành này nọ là tao gọi quân ra đấm ko trượt phát nào.
toxic,Điện thoại mua đều ko nguyên seal . Lần mua lần trước còn tráo cả điện thoại trưng bày . Đến phản hồi mới đổi điện thoại khách
toxic,"Kêu khách ra vệ sinh máy định kỳ free nhưng đến lúc khách ra thì bảo không có dụng cụ để vệ sinh bên trong và bảo khách ra hãng để vệ sinh. Khách đi vệ sinh free theo thông báo chứ ra rồi như lừa nhau, mất công đi. Tệ"
toxic,:((( mình khuyên thật là nếu mua đt thì nên đến TGDĐ ngay gần đây chứ chỗ này bán đắt mà nhân viên kiểu ngơ ngơ ko biết gì ấy. Họ chỉ chăm chăm bán những cái lợi cho họ mà ko đưa ra ý kiến góp ý gì hay cả
toxic,Bảo vệ cọc cằn khó tính
toxic,"Đến mua máy,bảo đợi nhân viên trả góp 15 phút ( nghe đã chán . Ngồi đợi đến nửa tiếng ko thấy gì. Càng chán về luôn"
toxic,"Đặt cọc mua máy IP16 promax, ko đc ưu tiên lấy máy mà các shop bán tiền mặt tại shop, rồi gọi kêu ưu tiên anh nếu anh mua thêm gói này nọ để thành khách hàng vip )))). Bình luận thì xoá. Lần đầu tiên và cũng là lần duy nhất mình đặt máy ở fpt. Học đc cách bán hàng của phương tây, nhưng vẫn làm việc kiểu lưu manh vn. Thất vọng"
toxic,Những kẻ lừa đảo hãy tránh xa cửa hàng này. 0 dịch vụ
toxic,"Mua hàng của FPT đã 4-5 năm nay, luôn ra FPT 256 Thái Hà vì hỗ trợ nhiệt tình và chuyên nghiệp. Hôm nay một ngày lười quyết định ra gần nhà làm mà rồi không được tích sự (hay 5% thif đúng hơn) gì sau hơn 2h chờ đợi, con gái ăn 2 cái bánh gạo lót dạ còn mẹ ăn no 1 bụng tức. Nhân viên kỹ thuật trình độ kém, làm thiếu chuyên nghiệp. Rate cho shop này 2 sao thì shop thái hà 256 phải cho thành 6 sao. Thất vọng toàn tập về trình độ nhân viên ở đây và thề ko quay lại. Mưa gió nắng nôi cg vác xác ra chỗ khác chứ vào đây mua cái bực mình!!!"
toxic,Đặt đơn online trên web xác nhận hđ các kiểu xong lúc ra mua hàng bảo sản phẩm lỗi không bán được . Hỏi khu vực quanh đấy có con nào bán được không thì nv bảo là lỗi hết rồi chả hiểu đăng lên mạng làm gì .
toxic,"Nhân viên phục vụ tầng 3 quá tệ,khách vào mua thẻ không đứa nào mở mồm chào hay hỏi hang gì ,chúng mày khinh bị người nghèo à,"
toxic,Tồi tệ Pdt bán iphone lỗi
toxic,không nên mua hàng ở Fpt vì bạn mua hàng chúng nó sẽ bán hàng đểu cho bạn
toxic,"Mình đi dán mac book nhân viên thì đổ 1 đống cồn vào như chà sân hay gì. Dán thì ẩu, lệch hết"
toxic,"CSKH gọi và có đặt luôn đơn hàng online để 28/06 đến cửa hàng còn máy lấy. Sau đó sáng ngày 27 hỏi lại thì nói hết hàng ở cơ sở mình đặt, còn màu vàng ở cơ sở bắc từ liêm, ok mình nhờ gửi máy về cơ sở gần nhà để lấy, cskh nói sẽ hỗ trợ báo cửa hàng gửi về. Đến trưa thì hết người này ng khác gọi hỏi rồi chả giải quyết dc gì, cứ nói sẽ báo lại rồi phản hồi khách làm mất cả buổi sáng k làm được cái gì bực mình thêm. Đến .chiều thì gọi bảo HẾT HÀNG TOÀN HỆ THỐNG, và hết hàng trên web nhưng mình đặt hàng trên web vẫn được, CSKH gọi lại báo hết hàng rồi, mình hỏi hết hàng sao các bạn vẫn để trên web, bạn CSKH vẫn khẳng định đã báo hết trên web, rất bực mình kiểu làm việc vô trách nhiệm của bên FPT. Bây giờ mình vẫn đọc được bình luận phản hồi khách hỏi mua của FPT là ""Dạ sản phẩm đang tạm hết hàng tại khu vực này nhưng vẫn còn hàng trên hệ thống bạn nha, bạn có thể đặt hàng, bên mình sẽ hỗ trợ chuyển hàng về bạn nhé. Để đặt hàng bạn vui lòng để lại thông tin liên hệ (Tên, số điện thoại), bên mình sẽ chủ động liên hệ hỗ trợ cho bạn ạ"". Ý của FPT đây là ko muốn bán hàng cho mình đúng k nhỉ? kêu hết toàn hệ thống mà vẫn trả lời nhiệt tình còn máy, thiếu 1 khách như mình chắc chả ảnh hưởng gì toàn hệ thống nhưng cách làm việc của FPT khiến khách hàng quá phản cảm,mình đã ko muốn nói gì thêm nhưng nguyên 1 ngày bị làm phiền và ko mua được máy, lên web FPT vẫ n trả lời khách khác là còn máy, quá khinh thường khách hàng."
toxic,Bán cái laptop mà lỗi lên lỗi xuống xong cũng đ biết sửa thì tốt nhất nên dẹp mẹ đi
toxic,Nhân viên tệ
toxic,Đừng bao giờ mua phụ kiện chỗ này thực sự kém chất lượng thà lên shopee còn rẻ vào bền hơn
toxic,"T chán về fpt vô cùng lap của tôi khi mua về bị cong phần màn hình tôi mang đi bảo hành cứ khư khư bảo lỗi do người dùng dù tôi bảo xuất hình ảnh bằng chứng là lỗi của tôi ra thì không hề có trả lại máy cho tôi chỉ với tờ giấy kết luận là lỗi do người dùng vậy hoá ra vậy cứ ai đi bảo hành cứ bảo là lỗi do người dùng thì khỏi cần trung tâm bảo hành luôn nhỉ. Đến gần đây tôi lại đem đi bảo hành tôi muốn chịu hoàn chi phí thì lại bảo là khong phát hiện ra vấn đề gì rồi lai tra lại máy cho toi ,máy nó bị cong rồi nhỡ nó bị chập rồi hỏng cả máy thì sao còn chưa kể đến nguy cơ cháy nổ."
toxic,Nhân viên nam thái độ
toxic,"Tệ thực sự luôn, nhân viên chăm sóc khách hàng k tốt .Hỏi nhưng chả thèm tl"
